it	posterior	likelihood	prior	accuracy	test_accuracy	f_C0	f_C1	f_C2	f_C3	f_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	alpha_0	alpha_1	alpha_2	acc_prob	mcmc_id
19300	-1211.1140751422236	-54.69683980641486	-1156.4172353358088	0.9995583038869258	0.996	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.09401352613317891	0.9861622071658083	-0.6847534006341973	2.157465052851852	-0.12159732500694231	3.01920796582202	0.01788341936678403	0.9721998713708799	0.012869032291180596	0.2537823834196891	0
19400	-1212.3689307053112	-63.63752187505541	-1148.7314088302558	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.09647715795022632	0.9842968144189371	-0.6795015759180066	2.127011185113558	-0.07417605917515974	2.970893979229395	0.0018401764827326254	0.9472679086461139	0.0018329886561915185	0.2539175257731959	0
19500	-1209.6571204283987	-55.41503766387226	-1154.2420827645265	0.9991166077738516	1.0	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.09434805813438336	0.984959186271895	-0.6696554299486883	2.124587324331642	-0.06787657671965135	2.9668582306345623	0.19000933845118012	0.9996905262981447	0.014288592981598831	0.25456410256410256	0
19600	-1207.4697054992275	-56.694906189480946	-1150.7747993097466	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.09180291154511902	0.9817983451657991	-0.6634394160050698	2.159446381879564	-0.02972380742411633	2.970005267190879	0.003045599528442307	0.9940164310261423	0.06535659470652505	0.2546428571428571	0
19700	-1206.7008704087657	-55.701596460361536	-1150.9992739484042	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.0884800754469238	0.9817821325259587	-0.6391671242489935	2.1462884529686654	-0.05533087227164624	2.985990962326582	0.003790052620367277	0.9810996307288229	0.09116463711728548	0.25477157360406094	0
19800	-1209.46144907849	-57.28104053822953	-1152.1804085402605	0.9991166077738516	0.996	0.19920494699646643	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20141342756183744	0.08659052500052541	0.9863511306854575	-0.6195206632370422	2.153710583567707	-0.0713945038696117	2.9725322468160287	0.015560204647507254	0.9742025291509666	0.054801808666349865	0.2548484848484848	0
19900	-1212.8203206425956	-57.27020455560942	-1155.5501160869862	0.9986749116607774	0.996	0.19964664310954064	0.19964664310954064	0.20097173144876326	0.19876325088339222	0.20097173144876326	0.09199410521986516	0.9854560364470392	-0.6083996272325644	2.1519714883899046	-0.09076708260788215	2.9460317104799536	0.22601135753602233	0.9874402274326144	0.08358074897766885	0.25487437185929646	0
20000	-1206.1221750375291	-56.75814129715089	-1149.3640337403783	0.9986749116607774	1.0	0.19920494699646643	0.19964664310954064	0.20053003533568906	0.19920494699646643	0.20141342756183744	0.08912239956607367	0.9899375696326373	-0.5720714528514269	2.170697580871528	-0.08818075668498375	2.9045929293703847	0.016842126083977442	0.9687741471973274	0.037253299949699906	0.25535	0
20100	-1202.9561861653842	-55.230804217643865	-1147.7253819477403	0.9995583038869258	1.0	0.19964664310954064	0.19964664310954064	0.20008833922261485	0.19964664310954064	0.20097173144876326	0.08945166494956404	0.9874798190450742	-0.5727127107738149	2.1612780489560612	-0.11478193449672794	2.9011045017539945	0.0028988619560966905	0.970398784631021	0.07546869958225023	0.2556218905472637	0
20200	-1201.9710941394999	-55.50345069602811	-1146.4676434434718	0.9986749116607774	0.996	0.19964664310954064	0.19964664310954064	0.20097173144876326	0.19876325088339222	0.20097173144876326	0.0923647490683279	0.9895019644518416	-0.5752091894117511	2.1599532921710702	-0.129851187027205	2.8700170636306015	0.01720670580269117	0.9869378786956879	0.023534589052001596	0.2557920792079208	0
